id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
7872,near_duplicate,duplikat,Kalo sawit yg disalahkan kok gak ada banjir bandang di propinsi Riau?? Padahal punya lahan 4 juta hektare 10 kali lipat lebih besar yg ada di Aceh? Jawabannya adalah pemuja Anies Baswedan anti sawit sebagai energi terbarukan..!!,2025-12-28,2658,0.9335,Kemiripan 93% dengan id 2658
7893,near_duplicate,duplikat,"Intensitas hujan yang tinggi kembali mengguyur di wilayah Sumatera Utara. Hanya hujan lebat selama satu jam, ratusan rumah warga di Kabupaten Tapanuli Selatan kembali dikepung banjir akibat luapan Sungai Batang Toru dan Sungai Siopat Opat.  Berdasarkan video amatir warga,",2025-12-27,2702,0.9371,Kemiripan 94% dengan id 2702
7894,near_duplicate,duplikat,"Kalimantan Selatan Diterjang Banjir Bandang seperti Bencana Ekologis di Sumatera, Derasnya Arus Air Rendam Hampir Setinggi Rumah",2025-12-27,2703,0.916,Kemiripan 92% dengan id 2703
8102,near_duplicate,duplikat,"PDI Perjuangan (PDIP) gelar peringatan Hari Ibu sekaligus penggalangan dana untuk korban  banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat, di  Gedung Nyi Ageng Serang, Jakarta Selatan, Kamis (18/12/2025).  Dalam acara tersebut, Ketua Umum PDIP, Megawati",2025-12-19,2714,0.9618,Kemiripan 96% dengan id 2714
8103,near_duplicate,duplikat,"Percayalah, ini bukan sekedar mencekam di medsos, ini real keadaan disana saat tim Basarnas, polri dan segenap relawan berjibaku mencari korban yang tertimbun, 21 hari Pasca Bencana Banjir dan Longsor di Sumatera.   Jakarta Selatan  Sathosi Nakamoto  #zonauangᅠᅠ",2025-12-18,2715,0.9413,Kemiripan 94% dengan id 2715
8104,near_duplicate,duplikat,"DPC PDI Perjuangan Tanah Datar bergotong royong menyalurkan bantuan dari DPP PDI Perjuangan untuk korban banjir yang mengungsi di Posko Utama Nagari Sumpur, Batipuh Selatan, Tanah Datar, Sumatera Barat, Minggu (15/12/2025).  Kami berharap bantuan yang diberikan bisa sedikit",2025-12-17,2716,0.9313,Kemiripan 93% dengan id 2716
8105,near_duplicate,duplikat,"Banjir besar yang melanda Kecamatan Batang Toru, Kabupaten Tapanuli Selatan, Sumatera Utara, pada akhir November lalu menyisakan kisah keberanian seorang polisi.   Aipda Jhon Kennedy Habiahan, Bhabinkamtibmas Polsek Batang Toru, turun langsung membantu warga saat Sungai Batang",2025-12-16,2717,0.943,Kemiripan 94% dengan id 2717
8107,near_duplicate,duplikat,"Diterjang banjir bandang, rumah rusak, hidup sempat porak-poranda. Tapi warga Tapanuli Selatan, Sumatera Utara, memilih nggak menyerah.  Kayu gelondongan yang hanyut terbawa banjir justru dimanfaatkan untuk membangun rumah kembali. Bareng TNI dan Brimob, warga gotong royong",2025-12-16,2718,0.9571,Kemiripan 96% dengan id 2718
2792,near_duplicate,duplikat,"Lewati Medan Sulit, Petugas PLN Pulihkan Kelistrikan Terdampak Banjir dan Longsor di Sumatera Utara  Banjir dan longsor yang terjadi di wilayah Sibolga, Tapanuli Selatan, Tapanuli Tengah, dan Tapanuli Utara memutus akses sehingga menjadi tantangan dalam proses pemulihan listrik. 1 72",2025-12-05,2727,0.9079,Kemiripan 91% dengan id 2727
8277,near_duplicate,duplikat,Tapi memang musibahnya datang Kamis sore. Sedangkan di hari tersebut KDM sudah bertolak ke Sumatera.  Semoga aja segera pulang dan segera mengatasi masalah banjir selatan. Soalnya walikota sama bupati Bandung udah ngibarkan bendera putih.,2025-12-06,2777,0.9011,Kemiripan 90% dengan id 2777
8280,near_duplicate,duplikat,"Wakil Presiden Gibran Rakabuming Raka membawa buku saku untuk mencatat langsung keluhan para korban banjir bandang dan longsor saat mengunjungi posko pengungsian di Tapanuli Selatan, Sumatera Utara.  Dalam rangkaian kunjungan kerjanya, Gibran menyambangi pengungsi di Desa Garoga",2025-12-05,2786,0.9608,Kemiripan 96% dengan id 2786
8281,near_duplicate,duplikat,"Usai meninjau wilayah terdampak bencana di Kabupaten Tapanuli Selatan, Sumatera Utara, Wapres Gibran Rakabuming melanjutkan rangkaian peninjauan lapangan ke sejumlah wilayah terdampak bencana di Kabupaten Aceh Singkil, Aceh, Kamis, 4 Desember 2025.",2025-12-05,2787,0.901,Kemiripan 90% dengan id 2787
8441,near_duplicate,duplikat,"Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa siap menggelontorkan dana darurat guna membantu penanganan bencana banjir dan tanah longsor di Pulau Sumatera.  ""Kalau saya disuruh bayar, saya bayar, gitu saja,"" kata Purbaya di kawasan Jakarta Selatan, Sabtu (29/11/2025).  Kendati",2025-11-29,2858,0.9549,Kemiripan 95% dengan id 2858
8494,near_duplicate,duplikat,"Sejumlah warga di Tapanuli Selatan (Tapsel), Sumatera, terpaksa menyeberangi sungai dengan memanfaatkan kabel listrik setelah jembatan penghubung ambruk akibat banjir dan longsor.  Kerusakan infrastruktur di wilayah Tapanuli Selatan ini memutus akses transportasi darat, membuat",2025-11-29,2859,0.9465,Kemiripan 95% dengan id 2859
8525,near_duplicate,duplikat,"Dua desa di Tapanuli Selatan, Sumatera Utara, diterjang banjir bandang. Kondisi terakhir di Desa Tolang Jae dan Desa Tolang Julu terlihat dipenuhi material kayu dan batu yang terbawa derasnya arus banjir.  Selain lumpur tebal, di lokasi juga terlihat adanya tumpukan kayu",2025-11-29,2866,0.9757,Kemiripan 98% dengan id 2866
7904,near_duplicate,duplikat,Banjir Sumatera Berpotensi Terulang Lagi akibat Kelemahan Tata Kelola  Klik untuk baca:,2025-12-30,2913,0.9272,Kemiripan 93% dengan id 2913
7938,near_duplicate,duplikat,"Ditengah upaya percepatan penanganan pasca bencana banjir dan longsor di Sumatra, Presiden Prabowo Subianto berencana akan mengunjungi daerah terdampak pada malam Tahun Baru 2026.  Bencana banjir dan longsor mengakibatkan ribuan warga mengungsi, sementara proses evakuasi dan",2025-12-30,2915,0.9346,Kemiripan 93% dengan id 2915
7906,near_duplicate,duplikat,loh apa salahnya kejar ambisi yg salah itu yg korupsi yg bikin rakyat sengsara spt di aceh .. hutan digunduli akhirnya longsor banjir bandang .. anies berambisi untuk mengakhiri kesengsaraan dgn cara merebut kekuasaan yg disyahkan oleh undang undang yaitu lewat partai politik,2025-12-30,2918,0.9624,Kemiripan 96% dengan id 2918
7831,near_duplicate,duplikat,"Pak Prabowo jgn omon2 saja, langsung tangkap dalang penyebab banjir di sumatra , jangan hanya di kantongin namanya .",2025-12-30,2922,0.9349,Kemiripan 93% dengan id 2922
7909,near_duplicate,duplikat,"Lagipula yg perlu diangkat bukan hutan sebagai paru2 bumi. Bencana kemarin warga bukan sesak nafas karna kurang oksigen, tapi banjir bandang karna ga ada hutan yg nahan limpahan air hujan.",2025-12-30,2926,0.9099,Kemiripan 91% dengan id 2926
